database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ
unite,fam,Full,0,RDP,0.7046917753098342,0.29530822469016577,0.052812650893288265,0.22602377503391508
unite,fam,Full,0,BLAST,0.7338886206341542,0.26611137936584583,0.049714308707548685,0.20428364489204662
unite,fam,Full,0,SINTAX,0.6724529212940609,0.3275470787059392,0.01537099629808466,0.23835391230369501
unite,fam,Full,0,Consensus,0.7079671656204732,0.2920328343795268,0.017704812489940446,0.2136533995539307
unite,fam,ITS1,0,RDP,0.570697242520893,0.42930275747910696,0.028644676813759134,0.31482902014615044
unite,fam,ITS1,0,BLAST,0.4664055876296984,0.5335944123703016,0.05296943760345593,0.3962729910083457
unite,fam,ITS1,0,SINTAX,0.6096653074407525,0.39033469255924746,0.02684807622431265,0.2864813736064089
unite,fam,ITS1,0,Consensus,0.5827364851225322,0.4172635148774678,0.01877346683354193,0.30340921543634614
unite,fam,ITS2,0,RDP,0.5813925229859451,0.4186074770140548,0.024120053465105918,0.305896784571498
unite,fam,ITS2,0,BLAST,0.48274940256794524,0.5172505974320548,0.04888816882012232,0.38343276068578835
unite,fam,ITS2,0,SINTAX,0.6446271618939609,0.35537283810603915,0.020636720806837053,0.25973394744912426
unite,fam,ITS2,0,Consensus,0.5990198063915104,0.40098019360848963,0.015533233423791972,0.290852490698576
unite,fam,Full,1,RDP,0.6950577417765859,0.30494225822341414,0.0638990750369438,0.23607277731299406
unite,fam,Full,1,BLAST,0.730250123145969,0.26974987685403096,0.06077937715505446,0.21004401979718054
unite,fam,Full,1,SINTAX,0.6592633134475399,0.3407366865524602,0.01658365716162224,0.24812153529793507
unite,fam,Full,1,Consensus,0.6970937551310821,0.302906244868918,0.019429697334573916,0.22191294557339108
unite,fam,ITS1,1,RDP,0.5462087912087912,0.45379120879120877,0.0367032967032967,0.3346232339089482
unite,fam,ITS1,1,BLAST,0.4419450549450549,0.558054945054945,0.06519230769230769,0.4172370486656201
unite,fam,ITS1,1,SINTAX,0.5984175824175825,0.4015824175824176,0.02543956043956044,0.2941130298273155
unite,fam,ITS1,1,Consensus,0.5611758241758241,0.4388241758241758,0.025412087912087912,0.3207064364207221
unite,fam,ITS2,1,RDP,0.582343552204304,0.41765644779569594,0.038692278056029504,0.3093809707272198
unite,fam,ITS2,1,BLAST,0.4904067367494083,0.5095932632505916,0.07124772964940283,0.3843516822216806
unite,fam,ITS2,1,SINTAX,0.6316913423963895,0.36830865760361053,0.029225604050855853,0.27142778515996635
unite,fam,ITS2,1,Consensus,0.5974792228521107,0.40252077714788925,0.025785678903627058,0.2948821776495286
unite,fam,Full,2,RDP,0.6956917941083592,0.3043082058916407,0.05679613840393378,0.23359047232372446
unite,fam,Full,2,BLAST,0.7377723643253485,0.2622276356746515,0.05052555600667659,0.20174132719808724
unite,fam,Full,2,SINTAX,0.678206342761763,0.321793657238237,0.025127441692606126,0.23703188136805675
unite,fam,Full,2,Consensus,0.7052465376460504,0.29475346235394956,0.018698966932828076,0.21588074937648627
unite,fam,ITS1,2,RDP,0.5577198225119986,0.44228017748800147,0.02909082676808838,0.324226077282312
unite,fam,ITS1,2,BLAST,0.46537172869691207,0.5346282713030879,0.05324640043466449,0.3970905939121098
unite,fam,ITS1,2,SINTAX,0.6096350629357964,0.39036493706420355,0.02284252467626551,0.2853585335247927
unite,fam,ITS1,2,Consensus,0.5766911165444173,0.4233088834555827,0.019265598116453862,0.3078679447872602
unite,fam,ITS2,2,RDP,0.5744590119312253,0.42554098806877466,0.02971464864129202,0.31244774823235105
unite,fam,ITS2,2,BLAST,0.5112824933085334,0.4887175066914667,0.08694370094814681,0.37392499076480384
unite,fam,ITS2,2,SINTAX,0.6416005080978088,0.35839949190219117,0.02179830331624552,0.26222772373477815
unite,fam,ITS2,2,Consensus,0.6004445855827246,0.3995554144172753,0.02254684026675135,0.29183867894569704
unite,fam,Full,3,RDP,0.671523178807947,0.32847682119205296,0.06365257259296994,0.25281275016374355
unite,fam,Full,3,BLAST,0.7311971472236373,0.26880285277636273,0.05229240957717779,0.20694272614802417
unite,fam,Full,3,SINTAX,0.6737442689760571,0.32625573102394295,0.023993886907794193,0.23989520413361473
unite,fam,Full,3,Consensus,0.7024248599083036,0.2975751400916964,0.02009679062659195,0.2182956116730951
unite,fam,ITS1,3,RDP,0.5268941525553793,0.47310584744462064,0.023072594259988744,0.34452491796329726
unite,fam,ITS1,3,BLAST,0.43169795876605105,0.5683020412339489,0.04834501458024249,0.4197428907614614
unite,fam,ITS1,3,SINTAX,0.59120069575894,0.40879930424106004,0.02123087941883665,0.2980654685775676
unite,fam,ITS1,3,Consensus,0.5465288791118842,0.4534711208881158,0.014861615593185655,0.3281541193752786
unite,fam,ITS2,3,RDP,0.5518956254796623,0.4481043745203377,0.04088002046559222,0.33175455907612467
unite,fam,ITS2,3,BLAST,0.46321821437707855,0.5367817856229214,0.07239703248912766,0.40410042758469467
unite,fam,ITS2,3,SINTAX,0.6193911486313636,0.3806088513686365,0.03967766692248657,0.2831999415268794
unite,fam,ITS2,3,Consensus,0.5722691225377334,0.42773087746226657,0.028626247122026095,0.3137009830793407
unite,fam,Full,4,RDP,0.7192993212174293,0.2807006787825706,0.07392161156119992,0.2216209452907504
unite,fam,Full,4,BLAST,0.749235822202759,0.2507641777972411,0.043004160280271514,0.19140417279239264
unite,fam,Full,4,SINTAX,0.7013181519597109,0.298681848040289,0.02231223998248303,0.2197191028809159
unite,fam,Full,4,Consensus,0.7262097657105321,0.2737902342894679,0.022509305890081016,0.20199568331821452
unite,fam,ITS1,4,RDP,0.5865254460754153,0.4134745539245847,0.02691834402742375,0.30302992252539585
unite,fam,ITS1,4,BLAST,0.48511909993847235,0.5148809000615276,0.06697723477190824,0.3869084242644935
unite,fam,ITS1,4,SINTAX,0.641671793970291,0.35832820602970905,0.019666871758811637,0.2615678248094527
unite,fam,ITS1,4,Consensus,0.6044212006680144,0.3955787993319856,0.018524215522545486,0.2878489182435741
unite,fam,ITS2,4,RDP,0.6281014332965822,0.37189856670341787,0.026262403528114663,0.2731453772247598
unite,fam,ITS2,4,BLAST,0.5306813671444321,0.4693186328555678,0.055810363836824695,0.3511734131359269
unite,fam,ITS2,4,SINTAX,0.6761455347298787,0.3238544652701213,0.022425578831312017,0.23773192628760434
unite,fam,ITS2,4,Consensus,0.6404321940463065,0.3595678059536935,0.019029768467475193,0.26227122381477397
unite,gen,Full,0,RDP,0.774716007234449,0.22528399276555103,0.09729927452295312,0.20700046158803703
unite,gen,Full,0,BLAST,0.7885955821089639,0.2114044178910362,0.008108272876912759,0.18236211146044712
unite,gen,Full,0,SINTAX,0.7452193704403666,0.2547806295596334,0.0,0.21838339676540006
unite,gen,Full,0,Consensus,0.7725924119571623,0.2274075880428377,0.001828933731634457,0.1951820659983801
unite,gen,ITS1,0,RDP,0.6718820167381098,0.3281179832618902,0.047274954072259644,0.2879975505205144
unite,gen,ITS1,0,BLAST,0.6026433966115534,0.39735660338844664,0.04286589099816289,0.3467150730469775
unite,gen,ITS1,0,SINTAX,0.7006838130230659,0.2993161869769341,0.0,0.25655673169451493
unite,gen,ITS1,0,Consensus,0.6835476627883241,0.31645233721167587,0.007287201469687692,0.2722858892485347
unite,gen,ITS2,0,RDP,0.7124183006535948,0.2875816993464052,0.04656862745098039,0.25315126050420167
unite,gen,ITS2,0,BLAST,0.6618259803921569,0.33817401960784316,0.039276960784313725,0.29547443977591037
unite,gen,ITS2,0,SINTAX,0.7381842320261438,0.2618157679738562,0.0,0.22441351540616247
unite,gen,ITS2,0,Consensus,0.7236723856209151,0.276327614379085,0.005024509803921569,0.23757002801120447
unite,gen,Full,1,RDP,0.7767908682941362,0.22320913170586373,0.0838500642422211,0.20330069349677193
unite,gen,Full,1,BLAST,0.7794443513397762,0.2205556486602238,0.005027652086475616,0.18976593486397408
unite,gen,Full,1,SINTAX,0.7453308008863564,0.25466919911364355,0.0,0.21828788495455162
unite,gen,Full,1,Consensus,0.7739884177792674,0.22601158222073256,0.0011731188201776438,0.193891801734939
unite,gen,ITS1,1,RDP,0.68295099743863,0.31704900256137003,0.04122497055359246,0.2776455694174018
